Match,H.Odds,A.Odds,H.Kelly,A.Kelly
Man Utd v Tottenham,2.1,3.8,32,13
Arsenal v Swansea,1.2,17,60,1
West Brom v Man City,15,1.25,1,62
Crystal Palace v West Ham,2.45,3.1,25,18
Watford v Stoke,2.05,3.8,32,12
Liverpool v Huddersfield,1.28,12,56,1
Bournemouth v Chelsea,5.25,1.67,6,40
Sheff Wed v Barnsley,1.73,4.8,37,7
QPR v Wolves,4.2,1.95,10,35
Burton v Ipswich,2.9,2.6,20,23
Norwich v Derby,2.3,3.3,27,15
Reading v Middlesbrough,3,2.6,20,25
Cardiff v Millwall,1.8,5,40,8
Preston v Brentford,2.3,3,23,15
Sunderland v Bristol City,2.5,2.9,23,18
Fulham v Bolton,1.44,7.5,47,3
Hull v Nottm Forest,2,3.75,30,11
Northampton v Blackpool,2.65,2.62,19,20
Charlton v AFC Wimbledon,1.95,4,33,10
Wigan v Blackburn,2.05,3.7,30,12
Bristol Rovers v MK Dons,1.95,3.7,29,10
Peterborough v Shrewsbury,2.37,2.87,22,16
Fleetwood v Oxford Utd,2.55,2.8,22,19
Oldham v Scunthorpe,2.8,2.55,19,22
Rotherham v Gillingham,1.5,5.8,38,4
Walsall v Southend,2.4,2.87,22,16
Plymouth v Rochdale,3.1,2.25,14,24
Portsmouth v Bradford,2.2,3.4,28,14
Bury v Doncaster,2.8,2.5,18,21
Mansfield v Exeter,2.2,3.25,26,14
Grimsby v Cambridge Utd,2.75,2.6,19,21
Accrington v Barnet,1.91,4,32,10
Wycombe v Cheltenham,2.1,3.3,26,12
Lincoln v Crawley,1.75,5,40,7
Yeovil v Stevenage,2.8,2.5,18,21
Forest Green v Morecambe,2.2,3.2,25,14
Port Vale v Swindon,2.55,2.9,23,19
Luton v Coventry,2.05,3.6,29,12
Colchester v Crewe,2,3.7,30,11
Chesterfield v Carlisle,3.1,2.3,15,25
Notts County v Newport,2.4,3,24,17
