"","Match","H.Odds","X.Odds","A.Odds","DNB.H.Odds","DNB.A.Odds"
"1","Celtic v B. Munich",8.5,5,1.36,5.5,1.12
"2","PSG v Anderlecht",1.07,15,46,1,41
"3","Basel v CSKA Moscow",1.8,3.5,4.6,1.33,3.25
"4","Roma v Chelsea",2.55,3.5,2.62,1.8,1.95
"5","Olympiakos v Barcelona",13,6,1.22,9,1.05
"6","Sporting Lisbon v Juventus",4.2,3.5,1.91,2.75,1.4
"7","Atletico Madrid v Qarabag",1.12,8.5,41,1,34
"8","Man Utd v Benfica",1.36,4.6,9.5,1.1,6.5
"9","Norwich v Wolves",2.8,3.3,2.6,1.95,1.8
"10","Hull v Middlesbrough",2.8,3.25,2.62,1.95,1.8
"11","Sunderland v Bolton",1.73,3.7,5.2,1.28,3.5
"12","Sheff Wed v Millwall",1.95,3.5,4,1.4,2.75
"13","Fulham v Bristol City",1.95,3.75,3.7,1.44,2.62
"14","Cardiff v Ipswich",1.61,3.9,6,1.22,4
"15","Leeds v Derby",2.4,3.25,3.2,1.67,2.1
"16","Burton v Barnsley",2.6,3.2,2.87,1.8,1.95
"17","QPR v Sheff Utd",2.75,3.3,2.62,1.95,1.8
"18","Reading v Nottm Forest",2.25,3.4,3.3,1.6,2.25
