Match,Result
Celtic v B. Munich,A
PSG v Anderlecht,H
Basel v CSKA Moscow,A
Roma v Chelsea,H
Olympiakos v Barcelona,D
Sporting Lisbon v Juventus,D
Atletico Madrid v Qarabag,D
Man Utd v Benfica,H
Norwich v Wolves,A
Hull v Middlesbrough,A
Sunderland v Bolton,D
Sheff Wed v Millwall,H
Fulham v Bristol City,A
Cardiff v Ipswich,H
Leeds v Derby,A
Burton v Barnsley,A
QPR v Sheff Utd,H
Reading v Nottm Forest,H
