Match,Result
Newcastle v Crystal Palace,H
Swansea v Leicester,A
Man City v Burnley ,H
Huddersfield v Man Utd,H
Stoke v Bournemouth,A
Southampton v West Brom,H
Bolton v QPR,D
Aston Villa v Fulham,H
Derby v Sheff Wed,H
Wolves v Preston,H
Bristol City v Leeds,A
Barnsley v Hull,A
Brentford v Sunderland,D
Sheff Utd v Reading,H
Middlesbrough v Cardiff,A
Nottm Forest v Burton,H
Millwall v Birmingham,H
